car_make,car_model,car_model_year,car_vin,credit_card,credit_card_type
Porsche,Boxster,2007,WBAEW53432P147548,$4041,visa
Chrysler,Concorde,1993,2C3CDZAT9FH804689,$4041592,visa
Toyota,Highlander,2009,WBAXA5C56FD595452,$4041,visa
Volvo,S90,1997,5XYKT3A67FG569919,$4041,visa
Lexus,GX,2011,SALME1D40BA152016,$4041595,visa
Ford,E-Series,1993,WAUGFAFC9DN843513,$4041,visa
Mazda,Miata MX-5,1996,5TDBK3EH9CS726878,$4041,visa
Hyundai,Tiburon,2005,WAUVC58E03A040343,$4041,visa
Volkswagen,Golf,1997,3GYFNEE35CS579845,$4041,visa
Dodge,Nitro,2009,3D7TP2CT5BG629736,$4041,visa
Subaru,Impreza,2012,3C4PDDBGXCT795196,$4041,visa
Volkswagen,Jetta III,1994,5N1AT2ML6EC126313,$4041,visa
Lamborghini,Diablo,1999,WBA3X5C53FD806250,$4041591,visa
Maserati,Quattroporte,1985,5FNYF3H41EB548351,$4041,visa
Chevrolet,Suburban 2500,2010,YV4902NC1F1951118,$4041,visa
Toyota,Prius,2010,1GT01XEG3FZ684705,-$4041590,visa
Toyota,Sienna,2003,WA1CV94L37D039802,$4041597,visa
Volkswagen,Golf III,1994,2G4GR5ERXD9425452,$4041597,visa
Lincoln,Town Car,2001,WA1LMAFE6FD195348,$4041,visa
Chevrolet,HHR,2007,2HNYD28688H410560,$4041598,visa
Suzuki,Aerio,2005,WAUEF78E76A806365,$4041,visa
Honda,S2000,2003,1N6AA0EK7FN778364,$4041,visa
Mazda,626,1991,3D7TT2HT1AG976998,$4041599,visa
Honda,Prelude,1993,19UYA42691A279597,$4041596,visa
GMC,Yukon Denali,2006,5NPDH4AEXFH847650,$4041,visa
Hyundai,Sonata,2001,1G6AE5SX6F0635846,$4041595,visa
Acura,MDX,2007,WAUJC58E03A431085,$4041,visa
Toyota,4Runner,1994,1G4HF57958U922783,$4041,visa
Mercedes-Benz,SLS AMG,2012,WP0AA2A86CS967884,$4041,visa
BMW,Z4 M,2008,1GTN1TEX4BZ423513,$4041598,visa
Infiniti,QX,2000,WAUDH78E76A495400,$4041,visa
Toyota,Corolla,2010,JN8AZ2KR0CT309525,$4041591,visa
Mercedes-Benz,M-Class,2000,3N1AB6AP2BL519735,$4041,visa
Toyota,Camry,2000,JTDKN3DP3F3489925,$4041,visa
Jeep,Grand Cherokee,2007,3D7TP2CT7BG566820,$4041,visa
Infiniti,QX,2001,WBA5A7C58ED182501,$4041,visa
Scion,tC,2007,3VW1K7AJ8FM772800,$4041,visa
Subaru,Outback,2003,4T1BD1EB4DU900763,$4041591,visa
Lexus,ES,1995,KNDPB3A24D7263292,$4041595,visa
Hyundai,Scoupe,1993,WAUGU44D63N965070,$4041,visa
Nissan,Frontier,2010,SCBBR9ZA8DC407148,$4041592,visa
Toyota,Prius,2009,WAUHF68P56A158579,$4041,visa
Dodge,Avenger,1996,SAJWJ0EF4E8850180,$4041,visa
Chevrolet,Corvette,1986,3D73M4HL1AG125423,$4041596,visa
Honda,Accord,1985,4T1BD1EB2DU300808,$4041592,visa
Toyota,Corolla,1994,1GYFC56259R166475,$4041598,visa
Mercedes-Benz,R-Class,2007,WAUFGBFB3AN417043,$4041,visa
Mercury,Capri,1993,1GD312CG8BF622694,$4041,visa
Oldsmobile,88,1997,3VWJP7AT4CM913327,$4041,visa
